Date,Close,High,Low,Open,Volume,n-transactions,MKTCP,HRATE,DIFF,AVBLS
10/8/2018,6652.22998,6675.060059,6576.040039,6600.189941,3979460000,248041,1.14E+11,50029447.71,7.45E+12,0.965177556
10/9/2018,6642.640137,6661.410156,6606.939941,6653.080078,3580810000,235862,1.15E+11,48176505.21,7.45E+12,0.966413523
10/10/2018,6585.529785,6640.290039,6538.959961,6640.290039,3787650000,244945,1.14E+11,53364744.23,7.45E+12,0.896905521
10/11/2018,6256.240234,6586.740234,6243.740234,6586.740234,5181640000,262467,1.07E+11,58923571.75,7.45E+12,0.920825635
10/12/2018,6274.580078,6328.5,6236.470215,6239.25,3783500000,243174,1.08E+11,48917682.21,7.45E+12,1.128503023
10/13/2018,6285.990234,6308.509766,6259.810059,6278.080078,3064030000,205097,1.08E+11,52252978.72,7.45E+12,0.862022191
10/14/2018,6290.930176,6363.209961,6280.149902,6288.490234,3085320000,191259,1.07E+11,42247089.18,7.45E+12,0.957302088
10/15/2018,6596.540039,6965.060059,6258.680176,6292.640137,7370770000,266945,1.12E+11,60035337.26,7.45E+12,0.943760957
10/16/2018,6596.109863,6673.589844,6571.370117,6601.410156,4074800000,257967,1.14E+11,50029447.71,7.45E+12,1.066273815
10/17/2018,6544.430176,6601.209961,6517.450195,6590.52002,4088420000,260362,1.14E+11,51141213.22,7.45E+12,1.049207804
10/18/2018,6476.709961,6567.540039,6450.040039,6542.330078,3924080000,253450,1.12E+11,49274490.48,7.43E+12,0.996208051
10/19/2018,6465.410156,6493.680176,6445.310059,6478.069824,3578870000,253826,1.12E+11,50702736.58,7.18E+12,1.018147845
10/20/2018,6489.189941,6497.720215,6449,6460.919922,3379130000,227821,1.12E+11,51059798.11,7.18E+12,0.88788549
10/21/2018,6482.350098,6556.379883,6476,6490.089844,3253610000,211505,1.11E+11,49274490.48,7.18E+12,0.823540116
10/22/2018,6487.160156,6543.799805,6462.97998,6486.049805,3672860000,255324,1.13E+11,55344536.41,7.18E+12,0.916539568
10/23/2018,6475.740234,6506.009766,6451.27002,6472.359863,3716150000,253463,1.12E+11,54987474.89,7.18E+12,0.932260416
10/24/2018,6495.839844,6521.990234,6468.859863,6478.890137,3424670000,254091,1.11E+11,40347952.35,7.18E+12,1.141656575
